T-1,T-2,T-3,T-4,T-24,T-48,T-72,T-96,DAY,SEASON,TEMP,HUMIDITY,T
2083.646729,455.9762315,515.4513921,654.2267669,2260.056104,2236.756556,1828.915749,1967.388015,0,1,66,90,2062.165835
2062.165835,2083.646729,455.9762315,515.4513921,2260.056104,2236.756556,1828.915749,1967.388015,0,1,66,90,2062.165835
2062.165835,2062.165835,2083.646729,455.9762315,2260.056104,2354.480586,1828.915749,1967.388015,0,1,66,90,2062.165835
2062.165835,2062.165835,2062.165835,2083.646729,2555.4158,2511.445958,1892.265507,2442.607331,0,1,80,40,2294.62091
2294.62091,2062.165835,2062.165835,2062.165835,2845.39921,2805.756031,2532.344883,2756.205522,0,1,80,40,2710.645657
2710.645657,2294.62091,2062.165835,2062.165835,3072.043255,3212.469274,3012.157598,3203.157769,0,1,80,40,3178.548791
3178.548791,2710.645657,2294.62091,2062.165835,4872.258922,4494.131446,4030.52553,4168.56132,0,1,83,32,4321.536047
4321.536047,3178.548791,2710.645657,2294.62091,5106.12735,5497.113571,4778.546313,5102.704818,0,1,83,32,5136.957854
5136.957854,4321.536047,3178.548791,2710.645657,5106.12735,4997.950385,4797.139878,5214.442879,0,1,83,32,5383.380187
5383.380187,5136.957854,4321.536047,3178.548791,5242.5506,5288.602367,4871.51414,4856.947593,0,1,81,38,4706.300742
4706.300742,5383.380187,5136.957854,4321.536047,4956.263386,5155.913418,4919.890319,4856.947593,0,1,81,38,4879.893802
4879.893802,4706.300742,5383.380187,5136.957854,4462.149128,5174.868982,4886.323174,4646.607342,0,1,81,38,4802.74133
4802.74133,4879.893802,4706.300742,5383.380187,4324.549815,4983.650573,4327.364398,4455.55521,0,1,72,69,4688.509116
4688.509116,4802.74133,4879.893802,4706.300742,4022.133744,4983.650573,4294.619977,4198.823711,0,1,72,69,4552.328353
4552.328353,4688.509116,4802.74133,4879.893802,4213.663923,4748.202515,4273.887329,4022.237667,0,1,72,69,4552.328353
4552.328353,4552.328353,4688.509116,4802.74133,4252.641994,4283.292365,4004.362903,4182.694854,0,1,71,78,4375.409755
4375.409755,4552.328353,4552.328353,4688.509116,4138.731941,3461.053206,3720.358532,3709.637138,0,1,71,78,3988.150907
3988.150907,4375.409755,4552.328353,4552.328353,818.5394988,829.3890651,885.5802574,855.9933655,0,1,71,78,790.8128295
790.8128295,3988.150907,4375.409755,4552.328353,818.5394988,836.5389708,834.9004508,824.068205,0,1,65,88,829.3890651
829.3890651,790.8128295,3988.150907,4375.409755,812.8271953,758.7213922,776.6515821,765.2061904,0,1,65,88,790.8128295
790.8128295,829.3890651,790.8128295,3988.150907,654.2267669,680.9038135,660.1538448,588.6201464,0,1,65,88,622.5406295
622.5406295,790.8128295,829.3890651,790.8128295,515.4513921,568.9994749,504.8235284,490.5167887,0,1,69,85,505.8142614
505.8142614,622.5406295,790.8128295,829.3890651,455.9762315,431.6547741,446.5746597,431.6547741,0,1,69,85,505.8142614
505.8142614,505.8142614,622.5406295,790.8128295,2083.646729,431.6547741,2175.940789,412.0341025,0,1,69,85,2044.540486
2044.540486,505.8142614,505.8142614,622.5406295,2062.165835,2260.056104,2236.756556,1828.915749,0,1,73,86,2001.945893
2001.945893,2044.540486,505.8142614,505.8142614,2062.165835,2260.056104,2236.756556,1828.915749,0,1,73,86,2001.945893
2001.945893,2001.945893,2044.540486,505.8142614,2062.165835,2260.056104,2354.480586,1828.915749,0,1,73,86,2001.945893
2001.945893,2001.945893,2001.945893,2044.540486,2294.62091,2555.4158,2511.445958,1892.265507,0,1,80,56,2171.596805
2171.596805,2001.945893,2001.945893,2001.945893,2710.645657,2845.39921,2805.756031,2532.344883,0,1,80,56,2512.03832
2512.03832,2171.596805,2001.945893,2001.945893,3178.548791,3072.043255,3212.469274,3012.157598,0,1,80,56,3421.998924
3421.998924,2512.03832,2171.596805,2001.945893,4321.536047,4872.258922,4494.131446,4030.52553,0,1,81,55,4473.118205
4473.118205,3421.998924,2512.03832,2171.596805,5136.957854,5106.12735,5497.113571,4778.546313,0,1,81,55,5029.937899
5029.937899,4473.118205,3421.998924,2512.03832,5383.380187,5106.12735,4997.950385,4797.139878,0,1,81,55,5122.741181
5122.741181,5029.937899,4473.118205,3421.998924,4706.300742,5242.5506,5288.602367,4871.51414,0,1,80,59,5004.864732
5004.864732,5122.741181,5029.937899,4473.118205,4879.893802,4956.263386,5155.913418,4919.890319,0,1,80,59,4853.774475
4853.774475,5004.864732,5122.741181,5029.937899,4802.74133,4462.149128,5174.868982,4886.323174,0,1,80,59,4853.774475
4853.774475,4853.774475,5004.864732,5122.741181,4688.509116,4324.549815,4983.650573,4327.364398,0,1,76,74,4702.684219
4702.684219,4853.774475,4853.774475,5004.864732,4552.328353,4022.133744,4983.650573,4294.619977,0,1,76,74,3669.474343
3669.474343,4702.684219,4853.774475,4853.774475,4552.328353,4213.663923,4748.202515,4273.887329,0,1,76,74,3437.303325
3437.303325,3669.474343,4702.684219,4853.774475,4375.409755,4252.641994,4283.292365,4004.362903,0,1,74,79,3437.303325
3437.303325,3437.303325,3669.474343,4702.684219,3988.150907,4138.731941,3461.053206,3720.358532,0,1,74,79,3669.474343
3669.474343,3437.303325,3437.303325,3669.474343,790.8128295,818.5394988,829.3890651,885.5802574,0,1,74,79,768.4763023
768.4763023,3669.474343,3437.303325,3437.303325,829.3890651,818.5394988,836.5389708,834.9004508,0,1,70,83,768.4763023
768.4763023,768.4763023,3669.474343,3437.303325,790.8128295,812.8271953,758.7213922,776.6515821,0,1,70,83,749.2643947
749.2643947,768.4763023,768.4763023,3669.474343,622.5406295,654.2267669,680.9038135,660.1538448,0,1,70,83,614.7810418
614.7810418,749.2643947,768.4763023,768.4763023,505.8142614,515.4513921,568.9994749,504.8235284,0,1,72,89,499.5095965
499.5095965,614.7810418,749.2643947,768.4763023,505.8142614,455.9762315,431.6547741,446.5746597,0,1,72,89,499.5095965
499.5095965,499.5095965,614.7810418,749.2643947,2044.540486,2083.646729,431.6547741,2175.940789,0,1,72,89,1863.555033
1863.555033,499.5095965,499.5095965,614.7810418,2001.945893,2062.165835,2260.056104,2236.756556,0,1,71,89,1942.855247
1942.855247,1863.555033,499.5095965,499.5095965,2001.945893,2062.165835,2260.056104,2236.756556,0,1,71,89,1942.855247
1942.855247,1942.855247,1863.555033,499.5095965,2001.945893,2062.165835,2260.056104,2354.480586,0,1,71,89,1942.855247
1942.855247,1942.855247,1942.855247,1863.555033,2171.596805,2294.62091,2555.4158,2511.445958,0,1,72,87,1942.855247
1942.855247,1942.855247,1942.855247,1942.855247,2512.03832,2710.645657,2845.39921,2805.756031,0,1,72,87,2323.584263
2323.584263,1942.855247,1942.855247,1942.855247,3421.998924,3178.548791,3072.043255,3212.469274,0,1,72,87,3288.222248
3288.222248,2323.584263,1942.855247,1942.855247,4473.118205,4321.536047,4872.258922,4494.131446,0,1,77,68,4196.845709
4196.845709,3288.222248,2323.584263,1942.855247,5029.937899,5136.957854,5106.12735,5497.113571,0,1,77,68,4743.411662
4743.411662,4196.845709,3288.222248,2323.584263,5122.741181,5383.380187,5106.12735,4997.950385,0,1,77,68,4665.330812
4665.330812,4743.411662,4196.845709,3288.222248,5004.864732,4706.300742,5242.5506,5288.602367,0,1,78,67,4704.371237
4704.371237,4665.330812,4743.411662,4196.845709,4853.774475,4879.893802,4956.263386,5155.913418,0,1,78,67,4448.571581
4448.571581,4704.371237,4665.330812,4743.411662,4853.774475,4802.74133,4462.149128,5174.868982,0,1,78,67,1918.073064
1918.073064,4448.571581,4704.371237,4665.330812,4702.684219,4688.509116,4324.549815,4983.650573,0,1,74,79,3445.741877
3445.741877,1918.073064,4448.571581,4704.371237,3669.474343,4552.328353,4022.133744,4983.650573,0,1,74,79,3513.638268
3513.638268,3445.741877,1918.073064,4448.571581,3437.303325,4552.328353,4213.663923,4748.202515,0,1,74,79,3347.292109
3347.292109,3513.638268,3445.741877,1918.073064,3437.303325,4375.409755,4252.641994,4283.292365,0,1,73,83,3475.446548
3475.446548,3347.292109,3513.638268,3445.741877,3669.474343,3988.150907,4138.731941,3461.053206,0,1,73,83,3296.709297
3296.709297,3475.446548,3347.292109,3513.638268,768.4763023,790.8128295,818.5394988,829.3890651,0,1,73,83,834.1071715
834.1071715,3296.709297,3475.446548,3347.292109,768.4763023,829.3890651,818.5394988,836.5389708,0,1,73,84,881.2951637
881.2951637,834.1071715,3296.709297,3475.446548,749.2643947,790.8128295,812.8271953,758.7213922,0,1,73,84,881.2951637
881.2951637,881.2951637,834.1071715,3296.709297,614.7810418,622.5406295,654.2267669,680.9038135,0,1,73,84,761.1185505
761.1185505,881.2951637,881.2951637,834.1071715,499.5095965,505.8142614,515.4513921,568.9994749,0,1,72,86,600.8830662
600.8830662,761.1185505,881.2951637,881.2951637,499.5095965,505.8142614,455.9762315,431.6547741,0,1,72,86,540.7947595
540.7947595,600.8830662,761.1185505,881.2951637,1863.555033,2044.540486,2083.646729,431.6547741,0,1,72,86,1882.766941
1882.766941,540.7947595,600.8830662,761.1185505,1942.855247,2001.945893,2062.165835,2260.056104,0,1,74,89,1863.555033
1863.555033,1882.766941,540.7947595,600.8830662,1942.855247,2001.945893,2062.165835,2260.056104,0,1,74,89,1863.555033
1863.555033,1863.555033,1882.766941,540.7947595,1942.855247,2001.945893,2062.165835,2260.056104,0,1,74,89,1863.555033
1863.555033,1863.555033,1863.555033,1882.766941,1942.855247,2171.596805,2294.62091,2555.4158,0,1,81,47,1863.555033
1863.555033,1863.555033,1863.555033,1863.555033,2323.584263,2512.03832,2710.645657,2845.39921,0,1,81,47,2589.017586
2589.017586,1863.555033,1863.555033,1863.555033,3288.222248,3421.998924,3178.548791,3072.043255,0,1,81,47,3130.006335
3130.006335,2589.017586,1863.555033,1863.555033,4196.845709,4473.118205,4321.536047,4872.258922,0,1,85,32,4250.625887
4250.625887,3130.006335,2589.017586,1863.555033,4743.411662,5029.937899,5136.957854,5106.12735,0,1,85,32,5047.660243
5047.660243,4250.625887,3130.006335,2589.017586,4665.330812,5122.741181,5383.380187,5106.12735,0,1,85,32,4872.258922
4872.258922,5047.660243,4250.625887,3130.006335,4704.371237,5004.864732,4706.300742,5242.5506,0,1,83,35,5134.688868
5134.688868,4872.258922,5047.660243,4250.625887,4448.571581,4853.774475,4879.893802,4956.263386,0,1,83,35,4378.480681
4378.480681,5134.688868,4872.258922,5047.660243,1918.073064,4853.774475,4802.74133,4462.149128,0,1,83,35,4092.697494
4092.697494,4378.480681,5134.688868,4872.258922,3445.741877,4702.684219,4688.509116,4324.549815,0,1,75,69,4112.18653
4112.18653,4092.697494,4378.480681,5134.688868,3513.638268,3669.474343,4552.328353,4022.133744,0,1,75,69,3929.896843
3929.896843,4112.18653,4092.697494,4378.480681,3347.292109,3437.303325,4552.328353,4213.663923,0,1,75,69,3929.896843
3929.896843,3929.896843,4112.18653,4092.697494,3475.446548,3437.303325,4375.409755,4252.641994,0,1,72,84,3910.911834
3910.911834,3929.896843,3929.896843,4112.18653,3296.709297,3669.474343,3988.150907,4138.731941,0,1,72,84,3872.941816
